10-000-maniacs--a-campfire-song	10,000 Maniacs	A Campfire Song
caterina-caselli--il-carnevale	Caterina Caselli	Il carnevale
caterina-caselli--insieme-a-te-non-ci-sto-piu	Caterina Caselli	Insieme a te non ci sto piu
caterina-caselli--nessuno-mi-puo-giudicare	Caterina Caselli	Nessuno mi puo giudicare
caterina-caselli--perdono	Caterina Caselli	Perdono
cathy-dennis--too-many-walls	Cathy Dennis	Too Many Walls
cats--let-s-dance	Cats	Let's Dance
cats--one-way-wind	Cats	One Way Wind
cats--save-the-last-dance-for-me	Cats	Save the Last Dance for Me
cats--vaya-con-dios	Cats	Vaya Con Dios
caught-in-the-act--love-is-everywhere	Caught in the Act	Love Is Everywhere
caught-in-the-act--my-arms-keep-missing-you	Caught in the Act	My Arms Keep Missing You
cb-milton--it-s-a-love-thing	CB Milton	It's a Love Thing
celentano--24-000-baci	Celentano	24.000 baci
celentano--24-mila-baci	Celentano	24 mila baci
celentano--acqua-e-sale	Celentano	Acqua e sale
celentano--angel	Celentano	Angel
celentano--apri-il-cuore	Celentano	Apri il cuore
celentano--arcobaleno	Celentano	Arcobaleno
celentano--attraverso-me	Celentano	Attraverso me
celentano--azzurro	Celentano	Azzurro
celentano--brivido-felino	Celentano	Brivido felino
celentano--cercami	Celentano	Cercami
celentano--che-t-aggia-di	Celentano	Che t'aggia di
celentano--chi-non-lavora-non-fa-l-amore	Celentano	Chi non lavora non fa l'amore
celentano--ciao-ragazzi	Celentano	Ciao ragazzi
celentano--confessa	Celentano	Confessa
celentano--cosi-come-sei	Celentano	Cosi come sei
celentano--e-ancora-sabato	Celentano	E' ancora sabato
celentano--e-voi-ballate	Celentano	E voi ballate
celentano--fumo-negli-occhi	Celentano	Fumo negli occhi
celentano--gelosia	Celentano	Gelosia
celentano--grazie-prego-scusi	Celentano	Grazie, prego, scusi
celentano--il-problema-piu-importante	Celentano	Il problema piu importante
celentano--il-ragazzo-della-via-gluck	Celentano	Il ragazzo della via Gluck
celentano--il-sospetto	Celentano	Il sospetto
celentano--il-tangaccio	Celentano	Il tangaccio
celentano--il-tempo-se-ne-va	Celentano	Il tempo se ne va
celentano--il-tuo-bacio-e-come-un-rock	Celentano	Il Tuo Bacio E Come Un Rock
celentano--innamorata-incavolata-a-vita	Celentano	Innamorata, incavolata a vita
celentano--io-non-so-parlar-d-amore	Celentano	Io non so parlar d'amore
celentano--io-sono-un-uomo-libero	Celentano	Io sono un uomo libero
celentano--l-arcobaleno	Celentano	L'arcobaleno
celentano--l-emozione-non-ha-voce	Celentano	L'emozione non ha voce
celentano--la-coppia-piu-bella-del-mondo	Celentano	La coppia piu bella del mondo
celentano--le-stesse-cose	Celentano	Le stesse cose
celentano--mi-domando	Celentano	Mi domando
celentano--nata-per-me	Celentano	Nata per me
celentano--non-succedera-piu	Celentano	Non succedera piu
celentano--per-averti	Celentano	Per averti
celentano--per-sempre	Celentano	Per sempre
celentano--pregher	Celentano	Pregher
celentano--preghero	Celentano	Preghero
celentano--sei-rimasta-sola	Celentano	Sei rimasta sola
celentano--senza-amore	Celentano	Senza amore
celentano--si-e-spento-il-sole	Celentano	Si e spento il sole
celentano--soli	Celentano	Soli
celentano--sotto-le-lenzuola	Celentano	Sotto le lenzuola
celentano--storia-d-amore	Celentano	Storia d'amore
celentano--straordinariamente	Celentano	Straordinariamente
celentano--susanna	Celentano	Susanna
celentano--svalutation	Celentano	Svalutation
celentano--ti-avro	Celentano	Ti Avro
celentano--un-albero-di-trenta-piani	Celentano	Un albero di trenta piani
celentano--una-carezza-in-un-pugno	Celentano	Una carezza in un pugno
celentano--una-rosa-pericolosa	Celentano	Una rosa pericolosa
celentano--una-storia-d-amore-e-di-coltello	Celentano	Una storia d'amore e di coltello
celentano--viola	Celentano	Viola
celine-dion--a-natural-woman	Celine Dion	A Natural Woman
celine-dion--a-new-day-has-come	Celine Dion	A New Day Has Come
celine-dion--all-by-myself	Celine Dion	All by Myself
celine-dion--any-other-way	Celine Dion	(If There Was) Any Other Way
celine-dion--beauty-the-beast	Celine Dion	Beauty & The Beast
celine-dion--because-you-loved-me	Celine Dion	Because You Loved Me
celine-dion--c-est-pour-toi	Celine Dion	C'est pour toi
celine-dion--d-abord-c-est-quoi-l-amour	Celine Dion	D'abord, c'est quoi l'amour
celine-dion--d-amour-ou-d-amitie	Celine Dion	D'amour ou d'amitie
celine-dion--fais-ce-que-tu-voudras	Celine Dion	Fais Ce que Tu Voudras
celine-dion--falling-into-you	Celine Dion	Falling Into You
celine-dion--i-don-t-know	Celine Dion	I Don't Know
celine-dion--i-hate-you-then-i-love-you	Celine Dion	I Hate You Then I Love You
celine-dion--i-m-alive	Celine Dion	I'm Alive
celine-dion--i-m-loving-every-moment-with-you	Celine Dion	I'm Loving Every Moment With You
celine-dion--i-m-your-angel	Celine Dion	I'm Your Angel
celine-dion--if-you-asked-me-to	Celine Dion	If You Asked Me To
celine-dion--immortality	Celine Dion	Immortality
celine-dion--it-s-all-coming-back-to-me	Celine Dion	It's All Coming Back to Me
celine-dion--it-s-all-coming-back-to-me-now	Celine Dion	It's All Coming Back to Me Now (Classic Paradise radio mix #2)
celine-dion--je-crois-toi	Celine Dion	Je crois toi
celine-dion--je-danse-dans-ma-tete	Celine Dion	Je danse dans ma tete
celine-dion--je-sais-pas	Celine Dion	Je sais pas
celine-dion--just-walk-away	Celine Dion	Just Walk Away
celine-dion--l-amour-existe-encore	Celine Dion	L'amour existe encore
celine-dion--le-ballet	Celine Dion	Le ballet
celine-dion--les-derniers-seront-les-premiers	Celine Dion	Les derniers seront les premiers (feat. Jean-Jacques Goldman)
celine-dion--let-s-talk-about-love	Celine Dion	Let's Talk About Love
celine-dion--mariah-carey-hero	Celine Dion	Mariah Carey - Hero
celine-dion--mon-reve-de-toujours	Celine Dion	Mon reve de toujours
celine-dion--my-heart-will-go-on	Celine Dion	My Heart Will Go On
celine-dion--ne-partez-pas-sans-moi	Celine Dion	Ne Partez Pas Sans Moi
celine-dion--nothing-broken-but-my-heart	Celine Dion	Nothing Broken But My Heart
celine-dion--only-one-road	Celine Dion	Only One Road
celine-dion--pour-que-tu-m-aimes-encore	Celine Dion	Pour que tu m'aimes encore
celine-dion--power-of-love	Celine Dion	Power of Love
celine-dion--priere-paienne	Celine Dion	Priere paienne
celine-dion--quand-on-n-a-que-l-amour	Celine Dion	Quand on n'a que l'amour
celine-dion--regarde-moi	Celine Dion	Regarde-moi
celine-dion--s-il-suffisait-d-aimer	Celine Dion	S'il suffisait d'aimer
celine-dion--sola-otra-vez	Celine Dion	Sola Otra Vez
celine-dion--sous-le-vent	Celine Dion	Sous le vent (feat. Celine Dion)
celine-dion--tell-him	Celine Dion	Tell Him
celine-dion--that-s-the-way-it-is	Celine Dion	That's The Way It Is
celine-dion--the-colour-of-my-love	Celine Dion	The Colour Of My Love
celine-dion--the-power-of-the-dream	Celine Dion	The Power of the Dream
celine-dion--the-reason	Celine Dion	The Reason
celine-dion--think-twice	Celine Dion	Think Twice
celine-dion--to-love-you-more	Celine Dion	To Love You More
celine-dion--unison	Celine Dion	Unison
celine-dion--vole	Celine Dion	Vole
celine-dion--when-i-fall-in-love	Celine Dion	When I Fall In Love
celine-dion--when-i-need-you	Celine Dion	When I Need You
celine-dion--where-does-my-heart-beat-now	Celine Dion	Where Does My Heart Beat Now
celine-dion--where-is-the-love	Celine Dion	Where Is the Love
celine-dion--zora-sourit	Celine Dion	Zora sourit
centory--take-it-to-the-limit	Centory	Take It to the Limit
centory--the-spirit	Centory	The Spirit
cesar-franck--panis-angelicus	Cesar Franck	Panis Angelicus
chaka-demus--twist-and-shout	Chaka Demus	Twist and Shout
chaka-khan--ain-t-nobody	Chaka Khan	Ain't Nobody
chaka-khan--i-feel-for-you	Chaka Khan	I Feel For You
chaka-khan--i-m-every-woman	Chaka Khan	I'm Every Woman
chaka-khan--it-s-my-party	Chaka Khan	It's My Party
chaka-khan--tell-me-something-good	Chaka Khan	Tell Me Something Good (live)
chaka-khan--this-is-my-night	Chaka Khan	This Is My Night
champaign--how-about-us	Champaign	How About Us
champs--tequila	Champs	Tequila
charlebois-robert--conception	Charlebois Robert	Conception
charles-aznavour--apres-l-amour	Charles Aznavour	Apres L'amour
charles-aznavour--emmenez-moi	Charles Aznavour	Emmenez-moi
charles-aznavour--j-aime-paris-au-mois-de-mai	Charles Aznavour	J'aime Paris au mois de mai (feat. Dianne Reeves)
charles-aznavour--mes-emmerdes	Charles Aznavour	Mes emmerdes
charles-aznavour--mourir-d-aimer	Charles Aznavour	Mourir d'aimer
charles-aznavour--que-c-est-triste-venise	Charles Aznavour	Que c'est triste Venise
charles-aznavour--sur-ma-vie	Charles Aznavour	Sur ma vie
charles-aznavour--tu-t-laisses-aller	Charles Aznavour	Tu t'laisses aller
charles-eddie--would-i-lie-to-you	Charles & Eddie	Would I Lie to You
charles-valentin-alkan--le-chemin-de-fer-op-27	Charles-Valentin Alkan	Le Chemin de fer, Op. 27
charlie-makes-the-cook--boys-and-girls	Charlie Makes The Cook	Boys and Girls
charlie-rich--a-very-special-love-song	Charlie Rich	A Very Special Love Song
charlie-rich--behind-closed-doors	Charlie Rich	Behind Closed Doors
charlie-rich--lonely-weekends	Charlie Rich	Lonely Weekends
charlie-rich--she-called-me-baby	Charlie Rich	She Called Me Baby
charlie-rich--the-most-beautiful-girl	Charlie Rich	The Most Beautiful Girl
chastain--love-and-hate	Chastain	Love and Hate
cheap-trick--can-t-stop-fallin-into-love	Cheap Trick	Can't Stop Fallin' Into Love
cheap-trick--don-t-be-cruel	Cheap Trick	Don't Be Cruel
cheap-trick--dream-police	Cheap Trick	Dream Police
cheap-trick--i-want-you-to-want-me	Cheap Trick	I Want You To Want Me
cheap-trick--stop-this-game	Cheap Trick	Stop This Game
cheap-trick--surrender	Cheap Trick	Surrender
cheap-trick--the-flame	Cheap Trick	The Flame
checker-chubby--let-s-twist-again	Checker Chubby	Let's Twist Again
checker-chubby--limbo-rock	Checker Chubby	Limbo Rock
checker-chubby--the-twist	Checker Chubby	The Twist (Yo Twist)
cheer--time-for-more-walking	Cheer	Time for More Walking
cher--bang-bang	Cher	Bang Bang (My Baby Shot Me Down)
cher--believe	Cher	Believe
cher--dov-e-l-amore	Cher	Dov'e L'amore
cher--flamenco-dance-part-2	Cher	Flamenco Dance, Part 2
cher--gypsies-tramps-thieves	Cher	Gypsies, Tramps & Thieves
cher--i-got-you-babe	Cher	I Got You Babe
cher--if-i-could-turn-back-time	Cher	If I Could Turn Back Time
cher--just-like-jesse-james	Cher	Just Like Jesse James
cher--no-diggity-shout	Cher	No Diggity   Shout (medley)
cher--oh-no-not-my-baby	Cher	Oh No Not My Baby
cher--shoop-shoop-song	Cher	Shoop Shoop Song
cher--strong-enough	Cher	Strong Enough
cher--the-music-s-no-good-without-you	Cher	The Music's No Good Without You
cherry-poppin-daddies--zoot-suit-riot	Cherry Poppin' Daddies	Zoot Suit Riot
cheryl-ladd--i-know-i-ll-never-love-this-way-again	Cheryl Ladd	I Know I'll Never Love This Way Again
cheryl-lynn--got-to-be-real	Cheryl Lynn	Got to Be Real
chesney-hawkes--i-m-a-man-not-a-boy	Chesney Hawkes	I'm a Man Not a Boy
chesney-hawkes--the-one-and-only	Chesney Hawkes	The One And Only
chic--chic-cheer	Chic	Chic Cheer
chic--chic-mystique	Chic	Chic Mystique
chic--falling-in-love-with-you	Chic	Falling in Love With You
chic--good-times	Chic	Good Times
chic--le-freak	Chic	Le Freak
chic--take-my-love	Chic	Take My Love
chicago--25-or-6-to-4	Chicago	25 Or 6 To 4
chicago--after-the-love-has-gone	Chicago	After the Love Has Gone (live, 2004)
chicago--alive-again	Chicago	Alive Again
chicago--along-comes-a-woman	Chicago	Along Comes A Woman
chicago--another-rainy-day-in-new-york-city	Chicago	Another Rainy Day In New York City
chicago--aufforderung-zum-tanz-op-65	Chicago	Aufforderung zum Tanz, op. 65
chicago--beginnings	Chicago	Beginnings
chicago--colour-my-world	Chicago	Colour My World
chicago--does-anybody-know-what-time-it-is	Chicago	Does Anybody Know What Time It Is
chicago--does-anybody-really-know-what-time-it-is	Chicago	Does Anybody Really Know What Time It Is?
chicago--feelin-stronger-every-day	Chicago	Feelin' Stronger Every Day
chicago--flight-602	Chicago	Flight 602
chicago--hard-habit-to-break	Chicago	Hard Habit to Break
chicago--hard-to-say-i-m-sorry	Chicago	Hard to Say I'm Sorry
chicago--hard-to-say-i-m-sorry-get-away	Chicago	Hard to Say I'm Sorry   Get Away
chicago--hard-to-say-im-sorry	Chicago	Hard to Say Im Sorry
chicago--if-you-leave-me-now	Chicago	If You Leave Me Now
chicago--look-away	Chicago	Look Away
chicago--make-me-smile	Chicago	Make Me Smile
chicago--no-tell-lover	Chicago	No Tell Lover
chicago--old-days	Chicago	Old Days
chicago--saturday-in-the-park	Chicago	Saturday In The Park
chicago--sweet-home-chicago	Chicago	Sweet Home Chicago
chicago--what-kind-of-man-would-i-be	Chicago	What Kind Of Man Would I Be?
chicago--where-we-begin	Chicago	Where We Begin
chicago--wishing-you-were-here	Chicago	Wishing You Were Here
chicago--you-re-the-inspiration	Chicago	You're the Inspiration
chick-corea--500-miles-high	Chick Corea	500 Miles High
chick-corea--eternal-child	Chick Corea	Eternal Child
chick-corea--hymn-of-the-heart	Chick Corea	Hymn of the Heart
chick-corea--la-fiesta	Chick Corea	La Fiesta
chick-corea--light-years	Chick Corea	Light Years
chick-corea--mirror-mirror	Chick Corea	Mirror, Mirror
chick-corea--no-mystery	Chick Corea	No Mystery
chick-corea--smokescreen	Chick Corea	Smokescreen
chick-corea--sometime-ago	Chick Corea	Sometime Ago
chick-corea--spain	Chick Corea	Spain
chick-corea--sundance	Chick Corea	Sundance (Chick Corea)
chick-corea--the-one-step	Chick Corea	The One Step
chico-debarge--talk-to-me	Chico DeBarge	Talk To Me
chip-davis--the-holly-and-the-ivy	Chip Davis	The Holly And The Ivy
chip-taylor--wild-thing	Chip Taylor	Wild Thing
chocolate--everybody-salsa	Chocolate	Everybody Salsa
chopin-frederic--ballade-nr-1-op-23-g-moll	Chopin Frederic	Ballade Nr.1 op.23 g-moll
chopin-frederic--barcarolle-opus-60	Chopin Frederic	Barcarolle Opus 60
chopin-frederic--berceuse	Chopin Frederic	Berceuse
chopin-frederic--etude-c-moll-opus-10-nr	Chopin Frederic	Etude c moll opus 10 Nr
chopin-frederic--etude-c-moll-opus-10-nr-12	Chopin Frederic	Etude c moll opus 10 Nr.12
chopin-frederic--etude-in-e-major-op-10-no-3-lento-ma-non-troppo	Chopin Frederic	Etude in E major, Op. 10 No. 3: Lento, ma non troppo
chopin-frederic--etude-no-24-in-c-minor-ocean-op-25-no-12	Chopin Frederic	Etude No. 24 in C minor "Ocean", Op. 25 No. 12
chopin-frederic--fantaisie-impromptu	Chopin Frederic	Fantaisie impromptu
chopin-frederic--heroic-polonaise-no-6-in-a-flat-opus-53	Chopin Frederic	Heroic Polonaise No. 6 in A flat, Opus 53
chopin-frederic--larghetto	Chopin Frederic	Larghetto
chopin-frederic--mazurka-d-dur-op-33-nr-2	Chopin Frederic	Mazurka D-Dur, Op. 33 Nr. 2
chopin-frederic--mazurka-nr-51-f-moll-op-68-nr-4	Chopin Frederic	Mazurka Nr. 51 f -moll op. 68 Nr. 4
chopin-frederic--nocturne-in-c-minor-op-48-nr-1	Chopin Frederic	Nocturne In C Minor, Op. 48 Nr. 1
chopin-frederic--nocturne-in-f-minor-op-55-no-1	Chopin Frederic	Nocturne in F minor, Op. 55 No. 1
chopin-frederic--nocturne-in-f-sharp-major-op-15-no-2	Chopin Frederic	Nocturne in F-sharp major, Op. 15 No. 2
chopin-frederic--nocturne-in-g-minor-op-15-nr-3	Chopin Frederic	Nocturne In G Minor, Op. 15 Nr. 3
chopin-frederic--nocturne-in-g-minor-op-37-nr-1	Chopin Frederic	Nocturne In G Minor, Op. 37 Nr. 1
chopin-frederic--nocturne-no-1-in-e-minor-op-72-andante	Chopin Frederic	Nocturne No. 1 in E minor, Op. 72: Andante
chopin-frederic--nocturne-no-18-in-e-major-op-62-no-2	Chopin Frederic	Nocturne No. 18 in E major, Op. 62 No. 2
chopin-frederic--piano-sonata-no-3-b-flat-minor-op-58-1st-movement	Chopin Frederic	Piano Sonata No. 3 B-flat Minor Op. 58 1st Movement
chopin-frederic--polonaise-a-dur-opus-40-nr	Chopin Frederic	Polonaise A-dur opus 40 Nr
chopin-frederic--prelude-in-e-minor-op-28-nr-4-suffocation	Chopin Frederic	Prelude in E minor, op. 28 nr. 4 "Suffocation" (arr. Franz Liszt) (organ: Gerrie Meijers)
chopin-frederic--waltz-in-a-minor-op-34-nr-2	Chopin Frederic	Waltz In A Minor, Op. 34 Nr. 2
chopin-frederic--waltz-in-d-flat-major-op-70-nr-3	Chopin Frederic	Waltz In D Flat Major, Op. 70 Nr. 3
chopin-frederic--waltz-in-e-minor-opus-posthumous	Chopin Frederic	Waltz in E Minor Opus posthumous
chris-andrews--pretty-belinda	Chris Andrews	Pretty Belinda
chris-andrews--yesterday-man	Chris Andrews	Yesterday Man
chris-barber-s-jazz-band--petite-fleur	Chris Barber's Jazz Band	Petite Fleur
chris-de-burgh--blond-hair-blue-jeans	Chris de Burgh	Blond Hair, Blue Jeans
chris-de-burgh--don-t-pay-the-ferryman	Chris de Burgh	Don't Pay the Ferryman
chris-de-burgh--lady-in-red	Chris de Burgh	Lady in Red
chris-de-burgh--missing-you	Chris de Burgh	Missing You
chris-isaak--blue-hotel	Chris Isaak	Blue Hotel
chris-isaak--somebody-s-crying	Chris Isaak	Somebody's Crying
chris-isaak--wicked-game	Chris Isaak	Wicked Game
chris-kenner--land-of-1000-dances	Chris Kenner	Land Of 1000 Dances
chris-montez--ay-no-digas	Chris Montez	Ay No Digas
chris-montez--let-s-dance	Chris Montez	Let's Dance
chris-norman--midnight-lady	Chris Norman	Midnight Lady
chris-rea--auf-immer-und-ewig	Chris Rea	Auf immer und ewig
chris-rea--curse-of-the-traveller	Chris Rea	Curse of the Traveller
chris-rea--fool	Chris Rea	Fool (If You Think It's Over)
chris-rea--if-you-were-me	Chris Rea	If You Were Me
chris-rea--it-s-all-gone	Chris Rea	It's All Gone
chris-rea--josephine	Chris Rea	Josephine
chris-rea--julia	Chris Rea	Julia
chris-rea--let-s-dance	Chris Rea	Let's Dance
chris-rea--little-blonde-plaits	Chris Rea	Little Blonde Plaits
chris-rea--loving-you	Chris Rea	Loving You
chris-rea--on-the-beach	Chris Rea	On the Beach
chris-rea--road-to-hell	Chris Rea	Road to Hell
chris-rea--two-roads	Chris Rea	Two Roads
chris-roberts--du-kannst-nicht-immer-17-sein	Chris Roberts	Du kannst nicht immer 17 sein
christie-lou--lightning-strikes-again	Christie Lou	Lightning Strikes Again
christie-tony--amarillo	CHRISTIE,TONY	Amarillo
christie-tony--calypso-and-rum	CHRISTIE,TONY	Calypso and Rum
christie-tony--i-did-what-i-did-for-maria	CHRISTIE,TONY	I Did What I Did for Maria
christie-tony--sweet-september	CHRISTIE,TONY	Sweet September
christie-tony--yellow-river	CHRISTIE,TONY	Yellow River
christina-aguilera--come-on-over	Christina Aguilera	Come On Over (All I Want Is You)
christina-aguilera--genie-in-a-bottle	Christina Aguilera	Genie In a Bottle
christina-aguilera--i-turn-to-you	Christina Aguilera	I Turn to You
christina-aguilera--reflection	Christina Aguilera	Reflection
christoph-willibald-gluck--ballet-des-ombres-heureuses	Christoph Willibald Gluck	Ballet des ombres heureuses (Orfeo ed Euridice)
christoph-willibald-gluck--paris-and-helena-gavotte	Christoph Willibald Gluck	Paris and Helena, Gavotte
christopher-cross--arthur-s-theme	Christopher Cross	Arthur's Theme (Best That You Can Do)
christopher-cross--ride-like-the-wind	Christopher Cross	Ride Like The Wind
christopher-cross--sailing	Christopher Cross	Sailing
chubby-checker--the-twist	Chubby Checker	The Twist
chuck-berry--almost-grown	Chuck Berry	Almost Grown
chuck-berry--johnny-b-goode	Chuck Berry	Johnny B Goode
chuck-berry--maybelline	Chuck Berry	Maybelline
chuck-berry--no-particular-place-to-go	Chuck Berry	No Particular Place To Go
chuck-berry--reelin-rockin	Chuck Berry	Reelin' & Rockin'
chuck-berry--rock-roll-music	Chuck Berry	Rock & Roll Music
chuck-berry--roll-over-beethoven	Chuck Berry	Roll Over Beethoven
chuck-berry--school-day	Chuck Berry	School Day
chuck-berry--sweet-little-rock-and-roll	Chuck Berry	Sweet Little Rock And Roll
chuck-berry--sweet-little-sixteen	Chuck Berry	Sweet Little Sixteen
chuck-mangione--feels-so-good	Chuck Mangione	Feels So Good
chumbawamba--tubthumping	Chumbawamba	Tubthumping
chyp-notic--i-can-t-get-enough	Chyp-notic	I Can't Get Enough
cilla-black--anyone-who-had-a-heart	Cilla Black	Anyone Who Had a Heart
cindy-bert--spaniens-gitarren	Cindy & Bert	Spaniens Gitarren
clarence-carter--patches	Clarence Carter	Patches
clarence-carter--too-weak-to-fight	Clarence Carter	Too Weak To Fight
clarence-frogman-henry--but-i-do	Clarence "Frogman" Henry	(I Don't Know Why) But I Do
classics--my-lady-of-spain	Classics	My Lady of Spain
classics--my-russian-lady	Classics	My Russian Lady
classics--wings-of-an-eagle	Classics	Wings of an Eagle
classics--yellow-sun-of-ecuador	Classics	Yellow Sun of Ecuador
classics-iv--spooky	Classics IV	Spooky
classics-iv--stormy	Classics IV	Stormy
claude-bolling--a-la-francaise	Claude Bolling	A la francaise
claude-bolling--bach-to-swing	Claude Bolling	Bach to Swing
claude-bolling--baroque-in-rhythm	Claude Bolling	Baroque in Rhythm
claude-bolling--blue-kiss-from-brazil	Claude Bolling	Blue Kiss From Brazil
claude-bolling--etude-in-blue	Claude Bolling	Etude in Blue
claude-bolling--fiancees-en-folie	Claude Bolling	Fiancees en folie
claude-bolling--garnerama	Claude Bolling	Garnerama
claude-bolling--not-this-time	Claude Bolling	Not This Time
claude-bolling--suite-for-cello-jazz-piano-trio-concertante	Claude Bolling	Suite for Cello & Jazz Piano Trio: Concertante
claude-bolling--suite-for-cello-jazz-piano-trio-romantique	Claude Bolling	Suite for Cello & Jazz Piano Trio: Romantique
claude-debussy--arabesque-nr-1-in-e-dur-l66-1	Claude Debussy	Arabesque Nr. 1 in E-dur L66 1 (feat. harp: Paola Larini)
claude-debussy--children-s-corner-i-doctor-gradus-ad-parnassum	Claude Debussy	Children's Corner - I. Doctor Gradus ad Parnassum
claude-debussy--children-s-corner-iv-the-snow-is-dancing	Claude Debussy	Children's Corner - IV. The Snow is Dancing
claude-debussy--claire-de-lune	Claude Debussy	Claire De Lune
claude-debussy--general-lavine-excentric	Claude Debussy	"General Lavine" - excentric
claude-debussy--golliwog-s-cake-walk	Claude Debussy	Golliwog's Cake Walk
claude-debussy--ii-pour-un-tombeau-sans-nom	Claude Debussy	II. Pour un tombeau sans nom
claude-debussy--iii-pour-que-la-nuit-soit-propice	Claude Debussy	III. Pour que la nuit soit propice
claude-debussy--images-serie-1-ii-hommage-a-rameau	Claude Debussy	Images, Serie 1  II. Hommage a Rameau (Lent e grave)
claude-debussy--jimbo-s-lullaby	Claude Debussy	Jimbo's Lullaby
claude-debussy--la-cathedrale-engloutie	Claude Debussy	La Cathedrale engloutie
claude-debussy--la-fille-aux-cheveux-de-lin	Claude Debussy	La fille aux cheveux de lin
claude-debussy--la-plus-que-lente-valse	Claude Debussy	La Plus Que Lente - Valse
claude-debussy--la-puerta-del-vino	Claude Debussy	La Puerta del Vino
claude-debussy--le-vent-dans-la-plaine	Claude Debussy	Le vent dans la plaine
claude-debussy--no-24-feux-d-artifice	Claude Debussy	No.24 Feux d'artifice (Fireworks)
claude-debussy--petit-suite-menuet	Claude Debussy	Petit Suite: Menuet
claude-debussy--prelude-a-l-apres-midi-d-un-faune	Claude Debussy	Prelude a l'apres-midi d'un faune
claude-debussy--reflets-dans-leau	Claude Debussy	Reflets dans leau
claude-debussy--reverie	Claude Debussy	Reverie
claude-debussy--serenade-for-the-doll	Claude Debussy	Serenade for the Doll
claude-debussy--six-epigraphes-antiques-i-pour-invoquer-pan-dieu-du-vent-d-e	Claude Debussy	Six epigraphes antiques: I. Pour invoquer Pan, dieu du vent d'ete
claude-debussy--six-epigraphes-antiques-pour-la-danseuse-aux-crotales	Claude Debussy	Six Epigraphes Antiques - Pour La Danseuse Aux Crotales
claude-debussy--the-little-negro	Claude Debussy	The little negro (Le petit Negre)
claude-debussy--the-little-shepherd	Claude Debussy	The Little Shepherd
claude-debussy--v-pour-l-egyptienne	Claude Debussy	V. Pour l'Egyptienne
claude-debussy--vi-pour-remercier-la-pluie-au-matin	Claude Debussy	VI. Pour remercier la pluie au matin
claude-francois--donna-donna	Claude Francois	Donna donna
claude-francois--le-lundi-au-soleil	Claude Francois	Le lundi au soleil
claude-francois--magnolia-forever	Claude Francois	Magnolia forever
claude-francois--y-a-le-printemps-qui-chante	Claude Francois	Y'a le printemps qui chante
claude-michel-schonberg--on-my-own	Claude-Michel Schonberg	On My Own (From "Les Miserables")
claudia-schmidt--whale-song-farewell-to-tarwathie	Claudia Schmidt	Whale Song   Farewell to Tarwathie
clayderman-richard--as-time-goes-by	Clayderman Richard	As Time Goes By
clayderman-richard--ballade-pour-adeline	Clayderman Richard	Ballade Pour Adeline
clayderman-richard--greensleeves	Clayderman Richard	Greensleeves
clayderman-richard--l-enfant-et-la-mer	Clayderman Richard	L'Enfant et la Mer
clayderman-richard--only-you	Clayderman Richard	Only You
clayderman-richard--strangers-in-the-night	Clayderman Richard	Strangers in the Night
clayderman-richard--yesterday	Clayderman Richard	Yesterday
clementi--sonata-for-piano-flute-cello-in-d-major-op-22-no-1-i-spirito	Clementi	Sonata for piano, flute & cello in D major, Op. 22 No. 1: I. Spiritoso
clementi--sonata-in-f-minor-op-14-no-3-iii-presto	Clementi	Sonata in F minor, Op. 14 No. 3: III. Presto
clementi--sonata-per-piano-in-fa-maggiore-op-26-i-allegro	Clementi	Sonata per piano in Fa maggiore, Op. 26: I. Allegro
clementi--sonata-per-piano-in-re-maggiore-la-chasse-op-16-i-allegro	Clementi	Sonata per piano in Re maggiore "La Chasse", Op. 16: I. Allegro
clementi--sonata-per-piano-in-re-maggiore-op-10-no-2-ii-presto	Clementi	Sonata per piano in Re maggiore, Op. 10 No. 2: II. Presto
clerc-julien--fais-moi-une-place	Clerc Julien	Fais moi une place
clerc-julien--femmes-je-vous-aime	Clerc Julien	Femmes... je vous aime
clerc-julien--partir	Clerc Julien	Partir
cliff-richard--carrie	Cliff Richard	Carrie
cliff-richard--daddy-s-home	Cliff Richard	Daddy's Home
cliff-richard--devil-woman	Cliff Richard	Devil Woman
cliff-richard--living-doll	Cliff Richard	Living Doll
cliff-richard--lucky-lips	Cliff Richard	Lucky Lips
cliff-richard--millenium-prayer	Cliff Richard	Millenium Prayer
cliff-richard--some-people	Cliff Richard	Some People
cliff-richard--summer-holiday	Cliff Richard	Summer Holiday
cliff-richard--we-don-t-talk-anymore	Cliff Richard	We Don't Talk Anymore
climax--precious-and-few	Climax	Precious and Few
clouseau--daar-gaat-ze	Clouseau	Daar gaat ze
clouseau--laat-me-nu-toch-niet-alleen	Clouseau	Laat me nu toch niet alleen
clouseau--zie-me-graag	Clouseau	Zie me graag
clout--save-me	Clout	Save Me
clout--substitute	Clout	Substitute
club-nouveau--lean-on-me	Club Nouveau	Lean on Me
coasters--charlie-brown	Coasters	Charlie Brown
coasters--yakety-yak	Coasters	Yakety Yak
cocciante--a-mano-a-mano	Cocciante	A mano a mano
cocciante--ammassati-e-distanti	Cocciante	Ammassati e distanti
cocciante--bella-senz-anima	Cocciante	Bella senz'anima
cocciante--celeste-nostalgia	Cocciante	Celeste nostalgia
cocciante--cervo-a-primavera	Cocciante	Cervo a primavera
